avg_precision,c1_avg_precision,c2_avg_precision,avg_entropy,c1_avg_entropy,c2_avg_entropy,avg_stance,Baseline,Param_setting
0.31869938467203807,,,0.9517620221483386,,,[0.59585 0.40415],2,NA
0.7215873335884632,,,0.9577970026545374,,,[0.3841 0.6159],3,NA
0.5825511548388178,0.7068806847000463,0.28227310941445033,0.9956990779967037,0.9655961412192621,0.906780224770537,[0.4796 0.5204],6,NA
0.35079323254033684,,,0.9640136528916498,,,[0.5694 0.4306],4,0.0001
0.3261844814473704,,,0.9498020090076388,,,[0.5931 0.4069],4,0.001
0.24871955687823585,,,0.859379292027079,,,[0.7016 0.2984],4,0.01
0.20137384827422605,,,0.7811577263305708,,,[0.7567 0.2433],4,0.1
0.23294751330982436,,,0.8327505844377221,,,[0.7246 0.2754],4,0.0
0.20474887137019832,,,0.7672093106065795,,,[0.7662 0.2338],4,1.0
0.23796084658137068,,,0.8113921027288896,,,[0.7376 0.2624],4,10.0
0.2429102951172998,,,0.8166723967743601,,,[0.7332 0.2668],4,20.0
0.24714309958499253,,,0.8230211829316193,,,[0.7285 0.2715],4,50.0
0.24861417716020626,,,0.8256881421579935,,,[0.7264 0.2736],4,100.0
0.22766964433894543,,,0.8300517735130751,,,[0.7277 0.2723],5,0.001
0.33259263016064966,,,0.964334427428759,,,[0.5785 0.4215],5,0.01
0.35019771159635,,,0.9645904194361609,,,[0.5641 0.4359],5,0.1
0.3996028615574632,,,0.9736841647358295,,,[0.5335 0.4665],5,1.0
0.4546944185389013,,,0.9869640048683942,,,[0.4841 0.5159],5,10
0.47265039904975287,,,0.9849641673452116,,,[0.475 0.525],5,15
0.4747020528132099,,,0.9870022406317864,,,[0.4707 0.5293],5,20
0.485981287769821,,,0.9897909374315619,,,[0.4725 0.5275],5,50
0.5061247341535959,,,0.9831142755795677,,,[0.4537 0.5463],5,100
0.5281899639385891,,,0.9857691917545454,,,[0.4567 0.5433],5,500
0.5672256019218245,0.7335398146799358,0.2821167795789577,0.9955006482683231,0.9516690776468154,0.9135591427579758,[0.4808 0.5192],7,0.001
0.5945743603835103,0.6785467342715787,0.26542739540627097,0.9966084978572357,0.9795233151613391,0.9161398932128232,[0.4807 0.5193],7,0.01
0.5882633650869874,0.6537012115023331,0.29306860516407535,0.9965409960441256,0.9862022398154313,0.9431991550061,[0.481 0.519],7,0.1
0.5573536291728989,0.6047817909117965,0.33305530521987703,0.9968919746292887,0.9891649346802839,0.9290646742833953,[0.4851 0.5149],7,1.0
0.5417116198875778,0.5675533889563098,0.38155458849370816,0.9967952634437515,0.9925076405598422,0.9641989754926665,[0.4848 0.5152],7,10
0.5370418854501853,0.5643971076865596,0.37082755595479466,0.9967640484617141,0.9930678881365691,0.963925556641214,[0.4847 0.5153],7,15
0.5357939202999359,0.565441495033642,0.3594019668262885,0.9956804567244073,0.9924181798872272,0.9666893370133279,[0.4815 0.5185],7,20
0.5338202181714237,0.5539181875463024,0.3915039744907985,0.997019995099194,0.9940422760890484,0.973350552108893,[0.4861 0.5139],7,50
0.5219658641411289,0.535231465822976,0.4153445157735918,0.9965485210065053,0.9950709563210467,0.9739296646986272,[0.4838 0.5162],7,100
0.5091154603715107,0.5189174749268581,0.41787803786582456,0.9972429992322516,0.99755913041711,0.9766318232385891,[0.4924 0.5076],7,500
