avg_precision,c1_avg_precision,c2_avg_precision,Baseline,Param_setting
0.2661820129511535,,,2,NA
0.7439024898074592,,,3,NA
0.5476330824146468,0.6347623636151347,0.34001144453781573,6,NA
0.29174111609787473,,,4,0.0001
0.27217880634785646,,,4,0.001
0.2230146615145094,,,4,0.01
0.16673953922469553,,,4,0.1
0.20952372215614998,,,4,0.0
0.15613637866202523,,,4,1.0
0.19553118702175878,,,4,10.0
0.20459340679698465,,,4,20.0
0.21207561259802843,,,4,50.0
0.21555457025560656,,,4,100.0
0.24415443225116978,,,5,0.001
0.33268225013712416,,,5,0.01
0.3499019355705591,,,5,0.1
0.3935267269429941,,,5,1.0
0.4607668977651628,,,5,10
0.47163868786011415,,,5,15
0.4812937836721627,,,5,20
0.503999418671861,,,5,50
0.5171146337045613,,,5,100
0.5246937561311448,,,5,500
0.5456851239083677,0.6535918456935407,0.3406514065261018,7,0.001
0.5495107366431454,0.6153953655882589,0.3450673976138349,7,0.01
0.5393320861751935,0.5946434621312334,0.36348587209253724,7,0.1
0.5309709513807352,0.5720845537678678,0.3795289201888699,7,1.0
0.5235128420749375,0.5498533135782282,0.40635653940175126,7,10
0.5225332041831018,0.5455521790937653,0.41135569191708493,7,15
0.5179358754552366,0.5408213330272049,0.41249476393165596,7,20
0.5084526997456057,0.5271566152084403,0.4047216616865522,7,50
0.5153077661266594,0.5305129330727372,0.417290006173718,7,100
0.5024963582405588,0.504767221041208,0.4591655757353978,7,500
