Baseline,Param_setting,MAP,MAP_C1,MAP_C2
2,,0.36069207592745023,,
3,,0.6978219409304802,,
4,0.0,0.25349775729997204,,
4,0.0001,0.34329099297658044,,
4,0.001,0.33170694981015364,,
4,0.01,0.2872144648619893,,
4,0.1,0.2417537826854085,,
4,1.0,0.23638692733349614,,
4,10.0,0.2746228016792204,,
4,20.0,0.28475528984391385,,
4,50.0,0.29451909164085,,
4,100.0,0.2982712935405093,,
5,0.001,0.2961163188761027,,
5,0.01,0.3930374422245844,,
5,0.1,0.41131745379612494,,
5,1.0,0.4355229461980341,,
5,10.0,0.4896494331442491,,
5,15.0,0.4935310888888965,,
5,20.0,0.4973314050852261,,
5,50.0,0.5102574458574327,,
5,100.0,0.5189372646606301,,
5,500.0,0.5287784108031139,,
6,,0.5479725662169199,0.6122089002008676,0.3649790738909531
7,0.001,0.5523595936468465,0.6476167206346761,0.34903849967167777
7,0.01,0.555475267932975,0.6099761164849289,0.3534987464765841
7,0.1,0.5442933859043009,0.5895426087428773,0.3765047073375279
7,1.0,0.5341285888522536,0.5648757667963757,0.4024097874849222
7,10.0,0.5206722371147238,0.5415518285244183,0.4167836152678797
7,15.0,0.5212896556714878,0.5401712446394585,0.4281594445284353
7,20.0,0.5219019496216633,0.5395402225796576,0.4291128885746987
7,50.0,0.512934600656811,0.5278689626710078,0.426326749197447
7,100.0,0.5123671857841331,0.5213585770270013,0.4457709477893429
7,500.0,0.5076951439419276,0.509448352494285,0.4667206735460933
