Baseline,Param_setting,MAP,MAP_C1,MAP_C2
2,,0.7905959510907095,,
3,,0.7522891931669996,,
4,0.0,0.8235616666273085,,
4,0.0001,0.7495127985507807,,
4,0.001,0.7971343160459594,,
4,0.01,0.8353660670931895,,
4,0.1,0.8645291986384567,,
4,1.0,0.8540670987793966,,
4,10.0,0.8100031652502087,,
4,20.0,0.8004647300980037,,
4,50.0,0.7928613142569095,,
4,100.0,0.7900407954267301,,
5,0.001,0.7982627261875958,,
5,0.01,0.7828587741631611,,
5,0.1,0.7557621233436009,,
5,1.0,0.7393508365665626,,
5,10.0,0.677843157889754,,
5,15.0,0.6585848524828881,,
5,20.0,0.6565323345668053,,
5,50.0,0.6237201973213966,,
5,100.0,0.591881270446446,,
5,500.0,0.5548635966750143,,
6,,0.6510342048347947,0.6560311395256746,0.6333842411758053
7,0.001,0.6602368130802175,0.6683934891162403,0.6373510526551441
7,0.01,0.6397419896430089,0.6372267095106671,0.6292227456734449
7,0.1,0.6178396543962559,0.6127803701774527,0.613768659959731
7,1.0,0.6004314036641187,0.5885358766922589,0.6086957322382973
7,10.0,0.5741806833932618,0.565106899973852,0.5768803948504233
7,15.0,0.568926000758822,0.5638211262906995,0.5607565659286279
7,20.0,0.5652199707158494,0.5559703088585084,0.5670742022982368
7,50.0,0.5573646619646191,0.5493311573930765,0.5521453986777566
7,100.0,0.5446218492244959,0.5399281213068311,0.524875531374202
7,500.0,0.5290420885631982,0.5224629871566867,0.5163440782480243
