avg_precision,c1_avg_precision,c2_avg_precision,avg_entropy,c1_avg_entropy,c2_avg_entropy,avg_dist,c1_avg_dist,c2_avg_dist,avg_stance,Baseline,Param_setting
0.3581855478923658,,,0.9653694905303939,,,"[0.565, 0.435]","[nan, nan]","[nan, nan]",,2,NA
0.6577123664990369,,,0.9553290861089365,,,"[0.38349999999999995, 0.6165]","[nan, nan]","[nan, nan]",,3,NA
0.5290592503734561,0.6006490365968391,0.36320746346176286,1.0,1.0,1.0,"[0.5, 0.5]","[0.5, 0.5]","[0.5, 0.5]",,6,NA
0.36018792112454023,,,0.9556438142962054,,,,"[nan, nan]","[nan, nan]","[0.5962, 0.40380000000000005]",4,0.0001
0.3320397685489103,,,0.9532877795385417,,,,"[nan, nan]","[nan, nan]","[0.5975, 0.4025]",4,0.001
0.2770843629511613,,,0.9073645005366708,,,,"[nan, nan]","[nan, nan]","[0.6495000000000001, 0.3505]",4,0.01
0.2026142846008937,,,0.8148840553378447,,,,"[nan, nan]","[nan, nan]","[0.7336, 0.2664]",4,0.1
0.2564848457714735,,,0.8838757754823312,,,,"[nan, nan]","[nan, nan]","[0.6833000000000001, 0.3166999999999999]",4,0.0
0.1839009036278359,,,0.77117151163768,,,,"[nan, nan]","[nan, nan]","[0.7617, 0.23830000000000007]",4,1.0
0.21890051051446202,,,0.8117794600202359,,,,"[nan, nan]","[nan, nan]","[0.7339, 0.2661]",4,10.0
0.22936972616342888,,,0.827726936970559,,,,"[nan, nan]","[nan, nan]","[0.7242000000000001, 0.27580000000000005]",4,20.0
0.23856216753737222,,,0.8423290065042656,,,,"[nan, nan]","[nan, nan]","[0.7141999999999998, 0.28580000000000005]",4,50.0
0.24250724750592206,,,0.8469918557003,,,,"[nan, nan]","[nan, nan]","[0.7110000000000001, 0.28900000000000003]",4,100.0
0.30302462837116023,,,0.9431563719370604,,,,"[nan, nan]","[nan, nan]","[0.6252500000000001, 0.3747499999999999]",5,0.001
0.3871624308722229,,,0.9866275527889679,,,,"[nan, nan]","[nan, nan]","[0.5318, 0.4682]",5,0.01
0.40178100484030926,,,0.9891055058985084,,,,"[nan, nan]","[nan, nan]","[0.52645, 0.47355]",5,0.1
0.43016469258387535,,,0.9914040761570346,,,,"[nan, nan]","[nan, nan]","[0.5041, 0.49589999999999995]",5,1.0
0.4704939196721945,,,0.9909724793664004,,,,"[nan, nan]","[nan, nan]","[0.47495, 0.52505]",5,10
0.4783507895465043,,,0.9928423857912211,,,,"[nan, nan]","[nan, nan]","[0.4761000000000001, 0.5239]",5,15
0.49612645015280654,,,0.990501442625214,,,,"[nan, nan]","[nan, nan]","[0.46324999999999994, 0.5367500000000001]",5,20
0.5047039479144482,,,0.9901647581919397,,,,"[nan, nan]","[nan, nan]","[0.4598000000000001, 0.5402]",5,50
0.5227744640299984,,,0.9901957412957458,,,,"[nan, nan]","[nan, nan]","[0.4538999999999999, 0.5460999999999999]",5,100
0.5208610847011959,,,0.9930243282424249,,,,"[nan, nan]","[nan, nan]","[0.47009999999999996, 0.5299]",5,500
0.5330944713291672,0.6234448245383275,,1.0,1.0,1.0,,"[0.5, 0.5]","[0.5, 0.5]","[0.5, 0.5]",7,0.001
0.5372925819375974,0.5954761495888355,,1.0,1.0,1.0,,"[0.5, 0.5]","[0.5, 0.5]","[0.5, 0.5]",7,0.01
0.5263960536717448,0.5749626245815799,,1.0,1.0,1.0,,"[0.5, 0.5]","[0.5, 0.5]","[0.5, 0.5]",7,0.1
0.5221575598258076,0.5596186279763068,,1.0,1.0,1.0,,"[0.5, 0.5]","[0.5, 0.5]","[0.5, 0.5]",7,1.0
0.5193272255715212,0.5401431263525465,,1.0,1.0,1.0,,"[0.5, 0.5]","[0.5, 0.5]","[0.5, 0.5]",7,10
0.514275481651996,0.5320473143058312,,1.0,1.0,1.0,,"[0.5, 0.5]","[0.5, 0.5]","[0.5, 0.5]",7,15
0.512562649951343,0.5305321747504016,,1.0,1.0,1.0,,"[0.5, 0.5]","[0.5, 0.5]","[0.5, 0.5]",7,20
0.5077149425149188,0.5255343884316226,,1.0,1.0,1.0,,"[0.5, 0.5]","[0.5, 0.5]","[0.5, 0.5]",7,50
0.5123789239822288,0.5186627359928534,,1.0,1.0,1.0,,"[0.5, 0.5]","[0.5, 0.5]","[0.5, 0.5]",7,100
0.5034952339813537,0.5068292869213967,,1.0,1.0,1.0,,"[0.5, 0.5]","[0.5, 0.5]","[0.5, 0.5]",7,500
