Baseline,Param_setting,MAP,MAP_C1,MAP_C2,Avg_Norm_Entropy,Avg_Norm_Entropy_C1,Avg_Norm_Entropy_C2,Avg Conservative Percentage,Avg Liberal Percentage
2,,0.3447534367198113,,,0.9655424313887738,,,0.4197,0.5803
3,,0.6456632977035979,,,0.9804348724273786,,,0.5772,0.4228
4,0.0,0.2600536294626545,,,0.8897337245628317,,,0.321,0.679
4,0.0001,0.3545398690492258,,,0.954438098131306,,,0.4052,0.5948
4,0.001,0.3406717885666193,,,0.95939688250399,,,0.4143,0.5857
4,0.01,0.2868521542341939,,,0.916142553465946,,,0.3614,0.6386
4,0.1,0.21201420633123624,,,0.8263021501779093,,,0.2736,0.7264
4,1.0,0.18674536112503204,,,0.7855082067098189,,,0.2416,0.7584
4,10.0,0.22224401834582927,,,0.8266696199710892,,,0.2736,0.7264
4,20.0,0.23217776819097394,,,0.8369840399126661,,,0.2812,0.7188
4,50.0,0.24113582071287265,,,0.8482546752784903,,,0.2901,0.7099
4,100.0,0.2444356602248554,,,0.851351771334118,,,0.2926,0.7074
5,0.001,0.25829472458694114,,,0.8902218315427832,,,0.3213,0.6787
5,0.01,0.3391096875124232,,,0.9578534817397286,,,0.4143,0.5857
5,0.1,0.3628706388509811,,,0.9671215569336654,,,0.4245,0.5755
5,1.0,0.3960615873520933,,,0.975053268224768,,,0.4539,0.5461
5,10.0,0.4461909301690612,,,0.9873609018065036,,,0.4877,0.5123
5,15.0,0.4575745273249248,,,0.9885341007707724,,,0.5015,0.4985
5,20.0,0.4664467898800196,,,0.9892881724511892,,,0.5073,0.4927
5,50.0,0.5000243359177672,,,0.9875539310611026,,,0.5304,0.4696
5,100.0,0.4970066954023587,,,0.988257059051686,,,0.5361,0.4639
5,500.0,0.5200189865559058,,,0.989173147680275,,,0.5304,0.4696
6,,0.5623286254564155,0.6546955486804685,0.3185923353542845,0.9957393465735812,0.9750839635076651,0.9238027233261824,0.5121,0.4879
7,0.001,0.5436106213784077,0.6713160524791969,0.3022512054569208,0.9965994312159344,0.9724424761528264,0.9348617541895874,0.51,0.49
7,0.01,0.5559508620999214,0.6299761382050104,0.30301024855504216,0.9964130931760092,0.9858630411856965,0.9476304430822704,0.5112,0.4888
7,0.1,0.5378441386666806,0.6036735584938563,0.3156159731688015,0.9966057574396672,0.9879593105537736,0.9403662004954596,0.5084,0.4916
7,1.0,0.5285225913412623,0.5706797763916627,0.3579440084517623,0.9971292227852679,0.99079006619971,0.9512328147431504,0.5103,0.4897
7,10.0,0.5233354908101827,0.5525783940419767,0.3822216290041328,0.9960455731391497,0.9933314248735065,0.9634595307779844,0.5097,0.4903
7,15.0,0.5144156460168613,0.5399718613108752,0.3963119691049017,0.9967233799149594,0.9945816194303246,0.9767033782007932,0.5103,0.4897
7,20.0,0.5227263859162103,0.5422711026360386,0.4107011530396884,0.9969838544482796,0.9943902731031229,0.976538549508042,0.5095,0.4905
7,50.0,0.5090186066582888,0.5269000494721804,0.3906654142837638,0.9963870351261626,0.9960474171891031,0.9662977284023768,0.5033,0.4967
7,100.0,0.5115997274817726,0.5275771607089412,0.4041571098174761,0.9969780140230275,0.9964297605394578,0.973586094979782,0.505,0.495
7,500.0,0.4948425901205565,0.4959689296551942,0.4370423503363446,0.9977867736195444,0.9983429804859464,0.9682732521076776,0.5,0.5
