avg_precision,c1_avg_precision,c2_avg_precision,avg_entropy,c1_avg_entropy,c2_avg_entropy,avg_stance,Baseline,Param_setting
0.37005833534314125,,,0.9741287775465998,,,[0.56685 0.43315],2,NA
0.6405715163987336,,,0.982364441590906,,,[0.4287 0.5713],3,NA
0.538775362406661,0.615181972490894,0.3475813644466055,0.9971586738543506,0.9851120803595738,0.9448768220087007,[0.4965 0.5035],6,NA
0.37720609589162907,,,0.9654855153224783,,,[0.5896 0.4104],4,0.0001
0.35776235599636985,,,0.9707327648266808,,,[0.5831 0.4169],4,0.001
0.30612200918759397,,,0.9340091056250363,,,[0.6363 0.3637],4,0.01
0.230026203965787,,,0.8495521949161353,,,[0.7154 0.2846],4,0.1
0.2859999015791541,,,0.9101585318579644,,,[0.6644 0.3356],4,0.0
0.21273526522268738,,,0.8013584606532436,,,[0.7442 0.2558],4,1.0
0.2415323978310804,,,0.8395041884842662,,,[0.7164 0.2836],4,10.0
0.24905188449580484,,,0.8519421932882684,,,[0.7077 0.2923],4,20.0
0.2557911596871182,,,0.8606878620267024,,,[0.7016 0.2984],4,50.0
0.258353304936758,,,0.8631995479637281,,,[0.6992 0.3008],4,100.0
0.29006306384603986,,,0.9119424136143737,,,[0.6615 0.3385],5,0.001
0.3605151683017321,,,0.9706032026063006,,,[0.5812 0.4188],5,0.01
0.3831041753246462,,,0.9769016706335711,,,[0.5654 0.4346],5,0.1
0.4006121965658409,,,0.9792729061193092,,,[0.5448 0.4552],5,1.0
0.4530134947770549,,,0.9880843449613756,,,[0.4912 0.5088],5,10
0.47240049818104446,,,0.987741772594651,,,[0.4863 0.5137],5,15
0.4727272870191369,,,0.9881683219893078,,,[0.485 0.515],5,20
0.49140462654487893,,,0.9867607684522577,,,[0.4735 0.5265],5,50
0.51459136175631,,,0.9868959344114384,,,[0.4635 0.5365],5,100
0.514757992697749,,,0.9892001905024008,,,[0.4693 0.5307],5,500
0.5281864092771418,0.641814314329259,0.3227791259539732,0.9965014015350971,0.9802018383427609,0.9478484046074365,[0.4942 0.5058],7,0.001
0.5403781497513279,0.6050428856737647,0.3231120046201051,0.9966784083765633,0.9895136729890873,0.9533083230541497,[0.4971 0.5029],7,0.01
0.5276929082429449,0.5817287694757625,0.33778118144926755,0.9970572295863785,0.9919113318919011,0.9447035949484373,[0.4972 0.5028],7,0.1
0.5265889784502122,0.5675352265109281,0.3780381749296533,0.9976533065691707,0.9940679988241728,0.9513047152463501,[0.4962 0.5038],7,1.0
0.5213108557775388,0.5507958266123791,0.3851781948068968,0.997478689353154,0.9943970804230454,0.9669982615392325,[0.494 0.506],7,10
0.5155527649450022,0.5382530438785593,0.39209894509000426,0.9966811100699844,0.9950785280463522,0.9649498898175662,[0.4942 0.5058],7,15
0.5172839411129017,0.541207147831714,0.38626795280377757,0.9975021198794853,0.995338422769275,0.9675309015219159,[0.491 0.509],7,20
0.5041296989420142,0.5152985058044203,0.412937695310187,0.9971790847459134,0.9965525848058914,0.9739313953704017,[0.4984 0.5016],7,50
0.5024420412624802,0.5192001508769271,0.39923650567242996,0.9975672076461325,0.9975334177048556,0.9676672811659053,[0.4976 0.5024],7,100
0.4937399559328906,0.5060617704275041,0.4095982036615871,0.9978007813710857,0.9977029095031732,0.9665439214970877,[0.5017 0.4983],7,500
