avg_precision,c1_avg_precision,c2_avg_precision,avg_entropy,c1_avg_entropy,c2_avg_entropy,avg_stance,Baseline,Param_setting
0.34475343671981135,,,0.9655424313887738,,,[0.5803 0.4197],2,NA
0.6456632977035979,,,0.9804348724273786,,,[0.4228 0.5772],3,NA
0.5623286254564155,0.6546955486804685,0.31859233535428455,0.9957393465735813,0.975083963507665,0.9238027233261825,[0.4879 0.5121],6,NA
0.3545398690492258,,,0.9544380981313059,,,[0.5948 0.4052],4,0.0001
0.3406717885666193,,,0.9593968825039899,,,[0.5857 0.4143],4,0.001
0.2868521542341939,,,0.9161425534659461,,,[0.6386 0.3614],4,0.01
0.21201420633123622,,,0.8263021501779093,,,[0.7264 0.2736],4,0.1
0.2600536294626545,,,0.8897337245628317,,,[0.679 0.321],4,0.0
0.18674536112503204,,,0.7855082067098189,,,[0.7584 0.2416],4,1.0
0.22224401834582927,,,0.8266696199710892,,,[0.7264 0.2736],4,10.0
0.23217776819097394,,,0.8369840399126661,,,[0.7188 0.2812],4,20.0
0.24113582071287265,,,0.8482546752784903,,,[0.7099 0.2901],4,50.0
0.2444356602248554,,,0.851351771334118,,,[0.7074 0.2926],4,100.0
0.25829472458694114,,,0.8902218315427832,,,[0.6787 0.3213],5,0.001
0.3391096875124232,,,0.9578534817397286,,,[0.5857 0.4143],5,0.01
0.36287063885098114,,,0.9671215569336654,,,[0.5755 0.4245],5,0.1
0.3960615873520933,,,0.9750532682247681,,,[0.5461 0.4539],5,1.0
0.4461909301690612,,,0.9873609018065035,,,[0.5123 0.4877],5,10
0.45757452732492476,,,0.9885341007707725,,,[0.4985 0.5015],5,15
0.4664467898800196,,,0.9892881724511892,,,[0.4927 0.5073],5,20
0.5000243359177672,,,0.9875539310611026,,,[0.4696 0.5304],5,50
0.4970066954023587,,,0.9882570590516859,,,[0.4639 0.5361],5,100
0.5200189865559058,,,0.989173147680275,,,[0.4696 0.5304],5,500
0.5436106213784077,0.6713160524791969,0.3022512054569208,0.9965994312159344,0.9724424761528264,0.9348617541895874,[0.49 0.51],7,0.001
0.5559508620999214,0.6299761382050104,0.30301024855504216,0.9964130931760092,0.9858630411856965,0.9476304430822705,[0.4888 0.5112],7,0.01
0.5378441386666806,0.6036735584938563,0.31561597316880147,0.9966057574396671,0.9879593105537736,0.9403662004954597,[0.4916 0.5084],7,0.1
0.5285225913412623,0.5706797763916627,0.3579440084517623,0.997129222785268,0.9907900661997101,0.9512328147431505,[0.4897 0.5103],7,1.0
0.5233354908101827,0.5525783940419767,0.3822216290041328,0.9960455731391495,0.9933314248735065,0.9634595307779845,[0.4903 0.5097],7,10
0.5144156460168613,0.5399718613108752,0.3963119691049017,0.9967233799149594,0.9945816194303246,0.9767033782007931,[0.4897 0.5103],7,15
0.5227263859162103,0.5422711026360386,0.4107011530396884,0.9969838544482796,0.994390273103123,0.9765385495080419,[0.4905 0.5095],7,20
0.5090186066582888,0.5269000494721804,0.3906654142837638,0.9963870351261626,0.996047417189103,0.9662977284023768,[0.4967 0.5033],7,50
0.5115997274817726,0.5275771607089412,0.4041571098174761,0.9969780140230275,0.9964297605394578,0.9735860949797821,[0.495 0.505],7,100
0.49484259012055654,0.49596892965519424,0.4370423503363446,0.9977867736195445,0.9983429804859463,0.9682732521076776,[0.5 0.5],7,500
