Baseline,Param_setting,MAP,MAP_C1,MAP_C2,Avg_Norm_Entropy,Avg_Norm_Entropy_C1,Avg_Norm_Entropy_C2,Avg Conservative Percentage,Avg Liberal Percentage
2,,0.3700583353431413,,,0.9741287775465998,,,0.43315,0.56685
3,,0.6405715163987336,,,0.982364441590906,,,0.5713,0.4287
4,0.0,0.2859999015791541,,,0.9101585318579644,,,0.3356,0.6644
4,0.0001,0.37720609589162907,,,0.9654855153224784,,,0.4104,0.5896
4,0.001,0.35776235599636985,,,0.9707327648266808,,,0.4169,0.5831
4,0.01,0.306122009187594,,,0.9340091056250364,,,0.3637,0.6363
4,0.1,0.230026203965787,,,0.8495521949161353,,,0.2846,0.7154
4,1.0,0.21273526522268735,,,0.8013584606532436,,,0.2558,0.7442
4,10.0,0.2415323978310804,,,0.8395041884842662,,,0.2836,0.7164
4,20.0,0.24905188449580484,,,0.8519421932882684,,,0.2923,0.7077
4,50.0,0.2557911596871182,,,0.8606878620267024,,,0.2984,0.7016
4,100.0,0.25835330493675795,,,0.8631995479637281,,,0.3008,0.6992
5,0.001,0.29006306384603986,,,0.9119424136143736,,,0.3385,0.6615
5,0.01,0.3605151683017321,,,0.9706032026063006,,,0.4188,0.5812
5,0.1,0.3831041753246462,,,0.9769016706335713,,,0.4346,0.5654
5,1.0,0.4006121965658409,,,0.9792729061193092,,,0.4552,0.5448
5,10.0,0.4530134947770549,,,0.9880843449613756,,,0.5088,0.4912
5,15.0,0.4724004981810445,,,0.9877417725946508,,,0.5137,0.4863
5,20.0,0.4727272870191369,,,0.9881683219893078,,,0.515,0.485
5,50.0,0.4914046265448789,,,0.9867607684522576,,,0.5265,0.4735
5,100.0,0.51459136175631,,,0.9868959344114384,,,0.5365,0.4635
5,500.0,0.514757992697749,,,0.9892001905024008,,,0.5307,0.4693
6,,0.538775362406661,0.615181972490894,0.3475813644466055,0.9971586738543506,0.9851120803595738,0.9448768220087008,0.5035,0.4965
7,0.001,0.5281864092771418,0.6418143143292591,0.3227791259539732,0.9965014015350973,0.9802018383427608,0.9478484046074364,0.5058,0.4942
7,0.01,0.5403781497513279,0.6050428856737647,0.3231120046201051,0.9966784083765632,0.9895136729890872,0.9533083230541496,0.5029,0.4971
7,0.1,0.5276929082429449,0.5817287694757625,0.33778118144926755,0.9970572295863784,0.9919113318919012,0.9447035949484373,0.5028,0.4972
7,1.0,0.5265889784502122,0.5675352265109281,0.3780381749296533,0.9976533065691708,0.9940679988241728,0.95130471524635,0.5038,0.4962
7,10.0,0.5213108557775388,0.5507958266123791,0.3851781948068968,0.997478689353154,0.9943970804230454,0.9669982615392324,0.506,0.494
7,15.0,0.5155527649450022,0.5382530438785593,0.39209894509000426,0.9966811100699844,0.9950785280463522,0.9649498898175662,0.5058,0.4942
7,20.0,0.5172839411129017,0.541207147831714,0.3862679528037776,0.9975021198794852,0.995338422769275,0.967530901521916,0.509,0.491
7,50.0,0.5041296989420142,0.5152985058044203,0.41293769531018704,0.9971790847459134,0.9965525848058914,0.9739313953704016,0.5016,0.4984
7,100.0,0.5024420412624802,0.5192001508769271,0.39923650567243,0.9975672076461324,0.9975334177048556,0.9676672811659052,0.5024,0.4976
7,500.0,0.4937399559328906,0.5060617704275041,0.4095982036615871,0.9978007813710856,0.9977029095031732,0.9665439214970876,0.4983,0.5017
